numba_no_vectorisation.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.269, Time: 1.131530 s
         8144851 function calls (7779133 primitive calls) in 6.809 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7571    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     4176    0.005    0.000    0.007    0.000 types.py:158(__init__)
     1025    0.005    0.000    0.034    0.000 cgutils.py:936(gep)
     1284    0.005    0.000    0.030    0.000 typeof.py:27(typeof)
      144    0.005    0.000    0.060    0.000 analysis.py:291(dead_branch_prune)
    17316    0.005    0.000    0.005    0.000 {method 'decode' of 'bytes' objects}
     1288    0.005    0.000    0.009    0.000 functools.py:35(update_wrapper)
     1073    0.005    0.000    0.018    0.000 instructions.py:551(__init__)
     1420    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      614    0.005    0.000    0.009    0.000 enum.py:254(__set_name__)
    32093    0.005    0.000    0.005    0.000 {built-in method builtins.iter}
     4670    0.005    0.000    0.005    0.000 {built-in method _functools.reduce}
     3882    0.005    0.000    0.015    0.000 base.py:123(_match)
    18357    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    18804    0.005    0.000    0.006    0.000 _utils.py:71(_stringify_metadata)
     3605    0.005    0.000    0.015    0.000 types.py:30(as_pointer)
     3132    0.005    0.000    0.060    0.000 value.py:231(is_declaration)
     48/3    0.004    0.000    5.390    1.797 compiler_machinery.py:342(run)
6879/6681    0.004    0.000    0.012    0.000 values.py:455(_get_reference)
     2741    0.004    0.000    0.023    0.000 values.py:1104(__init__)
7016/6836    0.004    0.000    0.005    0.000 {method 'update' of 'dict' objects}
       31    0.004    0.000    0.032    0.001 __init__.py:884(_rc_params_in_file)
     1248    0.004    0.000    0.016    0.000 controlflow.py:396(_eliminate_dead_blocks)
 3888/243    0.004    0.000    5.376    0.022 compiler_machinery.py:271(check)
      867    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
     1467    0.004    0.000    0.018    0.000 contextlib.py:567(__exit__)
7905/7527    0.004    0.000    0.014    0.000 misc.py:63(unliteral)
     2568    0.004    0.000    0.017    0.000 instructions.py:467(descr)
     1332    0.004    0.000    0.006    0.000 contextlib.py:491(push)
       48    0.004    0.000    0.059    0.001 byteflow.py:85(run)
    10084    0.004    0.000    0.006    0.000 __init__.py:1517(debug)
     1508    0.004    0.000    0.007    0.000 numpy_support.py:410(choose_types)
     6457    0.004    0.000    0.012    0.000 <frozen os>:680(__getitem__)
3407/3057    0.004    0.000    0.071    0.000 ir_utils.py:1576(guard)
       89    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
    35604    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
9257/9249    0.004    0.000    0.050    0.000 manager.py:40(__getitem__)
    12450    0.004    0.000    0.013    0.000 {built-in method builtins.setattr}
     1542    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
    21255    0.004    0.000    0.004    0.000 compiler.py:355(__getattr__)
     5937    0.004    0.000    0.047    0.000 __init__.py:174(search)
     1326    0.004    0.000    0.091    0.000 lowering.py:1634(decref)
    24820    0.004    0.000    0.004    0.000 values.py:554(_get_name)
     6826    0.004    0.000    0.004    0.000 inspect.py:3045(<genexpr>)
     1639    0.004    0.000    0.014    0.000 instructions.py:201(__init__)
     4176    0.004    0.000    0.005    0.000 types.py:126(__new__)
     4206    0.004    0.000    0.006    0.000 types.py:677(__eq__)
   831/46    0.004    0.000    1.217    0.026 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      744    0.004    0.000    0.009    0.000 npydecl.py:25(_handle_inputs)
     3047    0.004    0.000    0.041    0.000 old_models.py:630(get)
     2741    0.004    0.000    0.008    0.000 values.py:1091(_to_list)
     1885    0.004    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     1320    0.004    0.000    0.015    0.000 instructions.py:205(descr)
     1449    0.004    0.000    0.009    0.000 types.py:521(wrap_constant_value)
     4173    0.004    0.000    0.031    0.000 ssa.py:206(_run_ssa_block_pass)
     2788    0.004    0.000    0.006    0.000 ir.py:1553(get_definition)
     1542    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
    16636    0.004    0.000    0.005    0.000 analysis.py:69(<genexpr>)
    14572    0.004    0.000    0.006    0.000 ir.py:259(__hash__)
      198    0.004    0.000    0.031    0.000 ir.py:1326(dump)
     1542    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1474    0.004    0.000    0.034    0.000 interpreter.py:1798(_dispatch)
     2341    0.004    0.000    0.019    0.000 instructions.py:434(__init__)
     1639    0.004    0.000    0.009    0.000 values.py:1154(__init__)
      106    0.004    0.000    0.314    0.003 artist.py:158(_update_set_signature_and_docstring)
     3417    0.004    0.000    0.063    0.000 module.py:251(_next)
     1621    0.003    0.000    0.005    0.000 ir.py:1282(find_exprs)
      528    0.003    0.000    0.017    0.000 controlflow.py:662(_find_loops)
     1498    0.003    0.000    0.015    0.000 typeinfer.py:1080(add_type)
      929    0.003    0.000    0.005    0.000 typeof.py:66(_typeof_buffer)
     2741    0.003    0.000    0.006    0.000 values.py:1051(__init__)
    15076    0.003    0.000    0.003    0.000 controlflow.py:126(predecessors)
     6706    0.003    0.000    0.021    0.000 <frozen _collections_abc>:892(__iter__)
      986    0.003    0.000    0.040    0.000 builder.py:297(if_then)
     1212    0.003    0.000    0.020    0.000 errors.py:534(__init__)
      309    0.003    0.000    0.110    0.000 module.py:11(parse_assembly)
     2400    0.003    0.000    0.004    0.000 compiler_machinery.py:384(resolve_requires)
     5583    0.003    0.000    0.005    0.000 value.py:87(__init__)
    15284    0.003    0.000    0.003    0.000 {method 'index' of 'tuple' objects}
     1087    0.003    0.000    0.047    0.000 extending.py:129(decorate)
       30    0.003    0.000    0.271    0.009 cpu.py:193(create_cfunc_wrapper)
     1189    0.003    0.000    0.092    0.000 lowering.py:1578(delvar)
  834/281    0.003    0.000    4.071    0.014 context.py:232(_resolve_user_function_type)
     1042    0.003    0.000    0.028    0.000 builder.py:875(call)
     1056    0.003    0.000    0.011    0.000 ir_utils.py:2245(enforce_no_dels)
      476    0.003    0.000    0.048    0.000 context.py:723(load_additional_registries)
     5545    0.003    0.000    0.006    0.000 context.py:249(_get_attribute_templates)
     2528    0.003    0.000    0.044    0.000 old_models.py:710(getter)
    12848    0.003    0.000    0.006    0.000 <frozen os>:766(decode)
    11720    0.003    0.000    0.003    0.000 {method 'pop' of 'dict' objects}
     6112    0.003    0.000    0.005    0.000 {built-in method builtins.max}
     1128    0.003    0.000    0.013    0.000 instructions.py:349(__init__)
     3389    0.003    0.000    0.006    0.000 context.py:478(_lookup_global)
     7703    0.003    0.000    0.003    0.000 ffi.py:344(detach)
     9354    0.003    0.000    0.005    0.000 utils.py:332(key)
     9431    0.003    0.000    0.023    0.000 _parser.py:168(__getitem__)
     1639    0.003    0.000    0.005    0.000 templates.py:182(signature)
     2341    0.003    0.000    0.010    0.000 instructions.py:447(descr)
     3695    0.003    0.000    0.003    0.000 utils.py:445(__setitem__)
      426    0.003    0.000    0.018    0.000 packer.py:73(__init__)
     7277    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
     2139    0.003    0.000    0.020    0.000 ir.py:929(__str__)
    10487    0.003    0.000    0.003    0.000 enum.py:1129(__new__)
      340    0.003    0.000    0.004    0.000 inspect.py:3102(_bind)
     1270    0.003    0.000    0.042    0.000 context.py:353(resolve_value_type)
      799    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     4113    0.003    0.000    0.017    0.000 functions.py:230(_unlit_non_poison)
     3693    0.003    0.000    0.005    0.000 {built-in method builtins.all}
     1073    0.003    0.000    0.012    0.000 instructions.py:582(descr)
     1986    0.003    0.000    0.018    0.000 values.py:1123(__str__)
      155    0.003    0.000    0.016    0.000 ir.py:115(strformat)
     1128    0.003    0.000    0.009    0.000 instructions.py:365(descr)
8591/3612    0.003    0.000    0.004    0.000 packer.py:144(rec)
      531    0.003    0.000    0.018    0.000 module.py:45(add_metadata)
   799/47    0.003    0.000    1.213    0.026 <frozen importlib._bootstrap>:911(_load_unlocked)
       48    0.003    0.000    0.018    0.000 ir_utils.py:2350(fixup_var_define_in_scope)
     1240    0.003    0.000    0.007    0.000 instructions.py:738(descr)
    18216    0.003    0.000    0.003    0.000 {function RcParams.__getitem__ at 0x15068bfb4860}
      755    0.003    0.000    0.031    0.000 values.py:973(descr_prototype)
     1112    0.003    0.000    0.016    0.000 builder.py:568(_icmp)
       84    0.003    0.000    1.588    0.019 __init__.py:1(<module>)
  575/409    0.003    0.000    1.797    0.004 lowering.py:1242(lower_expr)
       49    0.003    0.000    0.037    0.001 config.py:125(update)
    15780    0.003    0.000    0.003    0.000 analysis.py:40(<genexpr>)
     6463    0.003    0.000    0.005    0.000 <frozen os>:762(encode)
     1618    0.003    0.000    0.005    0.000 inspect.py:175(get_annotations)
      819    0.003    0.000    0.009    0.000 copy.py:61(copy)
     1716    0.003    0.000    0.005    0.000 inspect.py:747(unwrap)
  363/101    0.003    0.000    4.022    0.040 typeinfer.py:558(__call__)
  571/469    0.003    0.000    0.075    0.000 base.py:526(get_function)
    17352    0.003    0.000    0.003    0.000 {built-in method builtins.id}
     8760    0.003    0.000    0.003    0.000 {method 'encode' of 'str' objects}
     5272    0.003    0.000    0.004    0.000 values.py:575(function_type)
     1474    0.003    0.000    0.005    0.000 byteflow.py:1893(append)
      787    0.003    0.000    0.006    0.000 enum.py:390(__setitem__)
      190    0.003    0.000    0.011    0.000 templates.py:188(fold_arguments)
     4696    0.003    0.000    0.003    0.000 types.py:314(format_constant)
     1861    0.003    0.000    0.003    0.000 warnings.py:482(__enter__)
      253    0.003    0.000    0.004    0.000 _compiler.py:243(_optimize_charset)
      864    0.003    0.000    0.042    0.000 analysis.py:71(fix_point)
      365    0.003    0.000    0.007    0.000 ir_utils.py:1622(find_callname)
     1240    0.003    0.000    0.012    0.000 instructions.py:720(__init__)
     2592    0.003    0.000    0.003    0.000 compiler_machinery.py:138(__init__)
     7271    0.003    0.000    0.003    0.000 ffi.py:327(__init__)
       83    0.003    0.000    0.003    0.000 __init__.py:49(create_string_buffer)
    10314    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
     9636    0.003    0.000    0.012    0.000 target_extension.py:121(inherits_from)
      792    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
       48    0.003    0.000    0.018    0.000 interpreter.py:1018(peep_hole_fuse_dict_add_updates)
 1075/718    0.003    0.000    1.828    0.003 lowering.py:664(lower_assign)
  120/110    0.003    0.000    0.278    0.003 lowering.py:740(lower_binop)
     1240    0.003    0.000    0.016    0.000 builder.py:978(insert_value)
       48    0.003    0.000    0.023    0.000 ssa.py:145(_find_defs_violators)
     5577    0.002    0.000    0.008    0.000 lowering.py:360(_disable_sroa_like_opt)
       96    0.002    0.000    0.004    0.000 ir_utils.py:1597(build_definitions)
     5975    0.002    0.000    0.002    0.000 npytypes.py:482(key)
      457    0.002    0.000    0.006    0.000 old_models.py:709(traverse)
     1542    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
      710    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1872    0.002    0.000    0.018    0.000 compiler_lock.py:15(release)
     2383    0.002    0.000    0.044    0.000 module.py:240(_next)
     1887    0.002    0.000    0.021    0.000 cgutils.py:158(__setattr__)
      120    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     6640    0.002    0.000    0.002    0.000 {built-in method numba.core.typeconv._typeconv.check_compatible}
       49    0.002    0.000    0.081    0.002 codegen.py:1095(_load_defined_symbols)
 1137/426    0.002    0.000    0.004    0.000 packer.py:175(rec)
      432    0.002    0.000    0.089    0.000 postproc.py:52(deadmaps)
     4748    0.002    0.000    0.050    0.000 controlflow.py:103(add_edge)
     1355    0.002    0.000    0.007    0.000 values.py:781(__init__)
     1073    0.002    0.000    0.021    0.000 builder.py:922(gep)
     3321    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     1075    0.002    0.000    0.073    0.000 lowering.py:1532(storevar)
 1585/515    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      198    0.002    0.000    0.005    0.000 interpreter.py:1661(_remove_unused_temporaries)
     1837    0.002    0.000    0.004    0.000 warnings.py:182(_add_filter)
      718    0.002    0.000    0.083    0.000 npydecl.py:196(generic)
      260    0.002    0.000    0.070    0.000 cgutils.py:99(__init__)
