numpy_vectorised_get_order.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.321, Time: 3.492857 s
         1539123 function calls (1523651 primitive calls) in 4.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   437/16    0.001    0.000    0.799    0.050 {built-in method builtins.__import__}
     1294    0.001    0.000    0.001    0.000 __init__.py:674(_set)
     1481    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     1816    0.001    0.000    0.001    0.000 inspect.py:371(isfunction)
     2630    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      119    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      409    0.001    0.000    0.006    0.000 rcsetup.py:332(validate_color)
      100    0.001    0.000    0.001    0.000 fromnumeric.py:71(_wrapreduction)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
     1235    0.001    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      114    0.001    0.000    0.266    0.002 artist.py:1837(kwdoc)
     2630    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      111    0.001    0.000    0.006    0.000 rcsetup.py:99(f)
      367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.001    0.001    3.516    3.516 numpy_vectorised_get_order.py:272(main)
      585    0.001    0.000    0.001    0.000 enum.py:785(__delattr__)
      369    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1212    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       32    0.001    0.000    0.005    0.000 colors.py:1048(from_list)
  306/239    0.001    0.000    0.016    0.000 typing.py:392(inner)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
   256/18    0.001    0.000    0.002    0.000 ast.py:409(generic_visit)
     1465    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      517    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     1640    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      711    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      210    0.000    0.000    0.017    0.000 _compiler.py:573(_code)
      708    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       82    0.000    0.000    0.007    0.000 typing.py:687(Union)
      461    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      637    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
       52    0.000    0.000    0.001    0.000 twodim_base.py:158(eye)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      367    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      367    0.000    0.000    0.001    0.000 __init__.py:82(find_spec)
     1465    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      245    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
       32    0.000    0.000    0.002    0.000 colors.py:416(to_rgba_array)
       64    0.000    0.000    0.004    0.000 util.py:360(replaced_by_pep8)
      443    0.000    0.000    0.002    0.000 __init__.py:179(sub)
      306    0.000    0.000    0.001    0.000 results.py:153(__new__)
      850    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
      785    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      148    0.000    0.000    0.001    0.000 font_manager.py:934(_json_decode)
      273    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.569    0.569 pyplot.py:1(<module>)
      549    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      572    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       63    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
      597    0.000    0.000    0.002    0.000 __init__.py:164(match)
      575    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       42    0.000    0.000    0.002    0.000 deprecation.py:131(deprecate)
      364    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1868    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
     1693    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      144    0.000    0.000    0.001    0.000 typing.py:1609(__hash__)
      477    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      200    0.000    0.000    0.014    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      414    0.000    0.000    0.001    0.000 function_base.py:348(iterable)
       18    0.000    0.000    0.010    0.001 rcsetup.py:827(validate_cycler)
      367    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      787    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
     1614    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      690    0.000    0.000    0.001    0.000 _mathtext_data.py:1725(<genexpr>)
      303    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      545    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
     1235    0.000    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
       45    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.002    0.002 decoder.py:343(raw_decode)
     22/3    0.000    0.000    0.002    0.001 core.py:4077(streamline)
      412    0.000    0.000    0.005    0.000 colors.py:221(is_color_like)
       67    0.000    0.000    0.002    0.000 core.py:4042(__init__)
      930    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1694    0.000    0.000    0.001    0.000 unicode.py:63(<genexpr>)
      473    0.000    0.000    0.001    0.000 __init__.py:745(__getitem__)
        1    0.000    0.000    0.024    0.024 _axes.py:65(Axes)
      652    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      661    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      119    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        6    0.000    0.000    0.008    0.001 patches.py:2325(pprint_styles)
      318    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
  215/204    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      303    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        2    0.000    0.000    0.023    0.012 core.py:206(read_style_directory)
      690    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       82    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       92    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      622    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
   133/64    0.000    0.000    0.004    0.000 core.py:3976(copy)
        1    0.000    0.000    0.101    0.101 rcsetup.py:1(<module>)
      812    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       86    0.000    0.000    0.001    0.000 core.py:3850(__init__)
     1370    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      538    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      589    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
1332/1330    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      369    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       66    0.000    0.000    0.001    0.000 core.py:4619(__init__)
      365    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      214    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
       48    0.000    0.000    0.008    0.000 __init__.py:1355(_add_data_doc)
      379    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      792    0.000    0.000    0.001    0.000 __init__.py:694(_get)
       11    0.000    0.000    0.029    0.003 _docstring.py:79(__missing__)
  126/115    0.000    0.000    0.046    0.000 _docstring.py:107(__call__)
      798    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      365    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      800    0.000    0.000    0.000    0.000 __init__.py:970(<lambda>)
      214    0.000    0.000    0.001    0.000 {built-in method fromkeys}
   256/18    0.000    0.000    0.002    0.000 ast.py:403(visit)
     1157    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      637    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      183    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       39    0.000    0.000    0.002    0.000 typing.py:746(Literal)
     1089    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
     1184    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    154/1    0.000    0.000    0.001    0.001 _mathtext_data.py:1723(_normalize_stix_fontcodes)
      241    0.000    0.000    0.005    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      588    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      146    0.000    0.000    0.000    0.000 <string>:2(__init__)
      201    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:2979(prod)
    45/12    0.000    0.000    0.002    0.000 typing.py:1328(_make_substitution)
     1181    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
     78/4    0.000    0.000    0.002    0.000 core.py:977(_parseCache)
      243    0.000    0.000    0.001    0.000 inspect.py:2799(__str__)
      448    0.000    0.000    0.000    0.000 colors.py:355(<genexpr>)
      130    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
       71    0.000    0.000    0.003    0.000 deprecation.py:260(rename_parameter)
      822    0.000    0.000    0.000    0.000 _parser.py:83(groups)
     62/9    0.000    0.000    0.004    0.000 core.py:3884(leave_whitespace)
      761    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      461    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
      210    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      150    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
       63    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
      223    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      210    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      369    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       66    0.000    0.000    0.001    0.000 inspect.py:2095(_signature_bound_method)
      641    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
      497    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
      680    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      698    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
    72/12    0.000    0.000    0.006    0.001 core.py:4127(parseImpl)
      792    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x150f982725c0}
      420    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       29    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
       51    0.000    0.000    0.000    0.000 linalg.py:159(_commonType)
       39    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
      106    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 helpers.py:153(one_of)
      132    0.000    0.000    0.001    0.000 ast.py:419(visit_Constant)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      114    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.007    0.007 cm.py:32(_gen_cmap_registry)
      147    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      779    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      195    0.000    0.000    0.001    0.000 inspect.py:2001(_signature_get_user_defined_method)
    379/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       34    0.000    0.000    0.000    0.000 numeric.py:136(ones)
      211    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
       39    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:809(copy)
       93    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      190    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
       58    0.000    0.000    0.003    0.000 core.py:3143(parseImpl)
       28    0.000    0.000    0.001    0.000 __init__.py:1377(getLogger)
      125    0.000    0.000    0.001    0.000 inspect.py:3066(replace)
