numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.377, Time: 0.029685 s
         1743071 function calls (1714811 primitive calls) in 1.440 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      238    0.001    0.000    0.001    0.000 core.py:457(__init__)
     2853    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      356    0.001    0.000    0.003    0.000 inspect.py:794(_finddoc)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      244    0.001    0.000    0.033    0.000 _parser.py:969(parse)
      721    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      186    0.001    0.000    0.002    0.000 colors.py:324(_to_rgba_no_colorcycle)
     2911    0.001    0.000    0.003    0.000 castgraph.py:48(get)
     4049    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
     1188    0.001    0.000    0.001    0.000 base.py:138(append)
       37    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
     2927    0.001    0.000    0.002    0.000 castgraph.py:65(__getitem__)
     1497    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     2794    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     1875    0.001    0.000    0.009    0.000 base.py:1249(exit_fn)
      249    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
     1668    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      917    0.001    0.000    0.042    0.000 inspect.py:3050(from_callable)
     1334    0.001    0.000    0.001    0.000 cpu_options.py:131(__init__)
     2291    0.001    0.000    0.018    0.000 ffi.py:139(__getattr__)
     3566    0.001    0.000    0.001    0.000 _parser.py:256(match)
     3000    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
      831    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     1875    0.001    0.000    0.007    0.000 base.py:1246(enter_fn)
     1073    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      295    0.001    0.000    0.001    0.000 __init__.py:396(__getitem__)
     1271    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      917    0.001    0.000    0.043    0.000 inspect.py:3308(signature)
     1520    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:632(cached)
      399    0.001    0.000    0.002    0.000 typing.py:723(<genexpr>)
     1956    0.001    0.000    0.001    0.000 abstract.py:20(_autoincr)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
     6075    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2487    0.001    0.000    0.003    0.000 target_extension.py:47(current_target)
      835    0.001    0.000    0.002    0.000 __init__.py:101(find_spec)
      854    0.001    0.000    0.001    0.000 enum.py:785(__delattr__)
        1    0.001    0.001    0.007    0.007 helpers.py:1(<module>)
      456    0.001    0.000    0.016    0.000 artist.py:1530(number_of_parameters)
     1578    0.001    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
     1512    0.001    0.000    0.001    0.000 context.py:422(is_for_this_target)
     7775    0.001    0.000    0.001    0.000 inspect.py:2777(kind)
       82    0.001    0.000    0.001    0.000 npyimpl.py:743(register_ufunc_kernel)
     3148    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1867    0.001    0.000    0.001    0.000 _parser.py:293(tell)
    249/3    0.001    0.000    0.089    0.030 context.py:394(_load_builtins)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.001    0.001    0.001    0.001 instructions.py:1(<module>)
     2246    0.001    0.000    0.001    0.000 inspect.py:371(isfunction)
      718    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1630    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      102    0.001    0.000    0.001    0.000 exceptions.py:49(__init__)
      319    0.001    0.000    0.015    0.000 extending.py:157(wrap)
     2175    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     2171    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      462    0.001    0.000    0.003    0.000 colors.py:277(to_rgba)
      835    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      138    0.001    0.000    0.001    0.000 _docscrape.py:168(_is_at_section)
     1016    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      583    0.001    0.000    0.001    0.000 registry.py:67(__getitem__)
      356    0.001    0.000    0.002    0.000 inspect.py:784(_findclass)
     1041    0.001    0.000    0.001    0.000 imputils.py:37(decorate)
      984    0.001    0.000    0.013    0.000 artist.py:1536(is_alias)
     3620    0.001    0.000    0.001    0.000 event.py:138(is_start)
     2686    0.001    0.000    0.001    0.000 util.py:201(__call__)
2951/2945    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1810    0.001    0.000    0.001    0.000 event.py:265(on_start)
  314/246    0.001    0.000    0.016    0.000 typing.py:392(inner)
        7    0.001    0.000    0.019    0.003 codegen.py:1095(_load_defined_symbols)
      227    0.001    0.000    0.083    0.000 artist.py:1413(__init__)
      846    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
      832    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      100    0.001    0.000    0.012    0.000 pyplot.py:209(_add_pyplot_note)
    13/12    0.001    0.000    0.182    0.015 utils.py:687(__init__)
      887    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      445    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
      252    0.001    0.000    0.001    0.000 misc.py:124(__init__)
      325    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
        1    0.001    0.001    0.001    0.001 Image.py:533(Image)
       69    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
       42    0.001    0.000    0.001    0.000 dispatcher.py:199(__init__)
        4    0.001    0.000    0.001    0.000 {built-in method posix.open}
      832    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      121    0.001    0.000    0.004    0.000 templates.py:1009(make_intrinsic_template)
      445    0.001    0.000    0.004    0.000 core.py:519(copy)
     1565    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1585    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      499    0.001    0.000    0.008    0.000 module.py:220(__next__)
      453    0.001    0.000    0.006    0.000 value.py:231(is_declaration)
      171    0.001    0.000    0.001    0.000 _docscrape.py:67(read_to_condition)
       39    0.001    0.000    0.005    0.000 colors.py:1080(from_list)
        7    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
     1992    0.001    0.000    0.004    0.000 base.py:372(_insert_getattr_defn)
        1    0.001    0.001    0.001    0.001 array_analysis.py:1(<module>)
       22    0.001    0.000    0.001    0.000 __init__.py:133(check_shape)
      426    0.001    0.000    0.004    0.000 rcsetup.py:332(validate_color)
       78    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
       42    0.001    0.000    0.011    0.000 dispatcher.py:757(__init__)
       91    0.001    0.000    0.007    0.000 typing.py:687(Union)
     1299    0.001    0.000    0.001    0.000 __init__.py:678(_set)
     1376    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      121    0.001    0.000    0.006    0.000 extending.py:352(_register)
      113    0.001    0.000    0.004    0.000 rcsetup.py:99(f)
      533    0.001    0.000    0.002    0.000 __init__.py:179(sub)
     3116    0.001    0.000    0.001    0.000 {built-in method time.perf_counter}
       39    0.001    0.000    0.002    0.000 colors.py:418(to_rgba_array)
      120    0.000    0.000    0.247    0.002 artist.py:1832(kwdoc)
     4256    0.000    0.000    0.000    0.000 event.py:108(kind)
      250    0.000    0.000    0.031    0.000 compiler_lock.py:32(_acquire_compile_lock)
      244    0.000    0.000    0.019    0.000 _compiler.py:573(_code)
     1992    0.000    0.000    0.003    0.000 base.py:380(_insert_cast_defn)
        1    0.000    0.000    0.000    0.000 linalg.py:85(_BLAS)
      320    0.000    0.000    0.004    0.000 dylib.py:15(add_symbol)
   274/19    0.000    0.000    0.002    0.000 ast.py:409(generic_visit)
     1992    0.000    0.000    0.003    0.000 base.py:384(_insert_get_constant_defn)
      113    0.000    0.000    0.001    0.000 enum.py:1008(_find_data_type_)
     1992    0.000    0.000    0.003    0.000 base.py:376(_insert_setattr_defn)
      200    0.000    0.000    0.017    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
      324    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
       66    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1578    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
      222    0.000    0.000    0.006    0.000 templates.py:1275(decorate)
      246    0.000    0.000    0.079    0.000 templates.py:1054(__init__)
      838    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
        1    0.000    0.000    0.130    0.130 old_arraymath.py:1(<module>)
      105    0.000    0.000    0.307    0.003 artist.py:125(__init_subclass__)
     2171    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      590    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      121    0.000    0.000    0.008    0.000 extending.py:435(_intrinsic)
      647    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      445    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
