numpy_vec_get_order_all_energy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 2.359681 s
         1319004 function calls (1303532 primitive calls) in 3.263 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      711    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       32    0.000    0.000    0.002    0.000 colors.py:416(to_rgba_array)
     1465    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     1640    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    2.369    2.369 numpy_vec_get_order_all_energy.py:302(main)
      517    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      443    0.000    0.000    0.002    0.000 __init__.py:179(sub)
      637    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
       82    0.000    0.000    0.007    0.000 typing.py:687(Union)
      367    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.597    0.597 pyplot.py:1(<module>)
       64    0.000    0.000    0.004    0.000 util.py:360(replaced_by_pep8)
      303    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      367    0.000    0.000    0.001    0.000 __init__.py:82(find_spec)
      245    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      369    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
      148    0.000    0.000    0.001    0.000 font_manager.py:934(_json_decode)
      850    0.000    0.000    0.001    0.000 colors.py:216(_is_nth_color)
      575    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      785    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1465    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      306    0.000    0.000    0.001    0.000 results.py:153(__new__)
      572    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       63    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
      597    0.000    0.000    0.002    0.000 __init__.py:164(match)
      549    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       42    0.000    0.000    0.002    0.000 deprecation.py:131(deprecate)
       52    0.000    0.000    0.001    0.000 twodim_base.py:158(eye)
      364    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      477    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      414    0.000    0.000    0.001    0.000 function_base.py:348(iterable)
      865    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      473    0.000    0.000    0.001    0.000 __init__.py:745(__getitem__)
      200    0.000    0.000    0.014    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
     1693    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      144    0.000    0.000    0.001    0.000 typing.py:1609(__hash__)
      545    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
      787    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1868    0.000    0.000    0.000    0.000 typing.py:1599(<genexpr>)
     1614    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1016    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      303    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       18    0.000    0.000    0.010    0.001 rcsetup.py:827(validate_cycler)
      690    0.000    0.000    0.001    0.000 _mathtext_data.py:1725(<genexpr>)
        1    0.000    0.000    0.025    0.025 _axes.py:65(Axes)
       45    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
      367    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1235    0.000    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
     22/3    0.000    0.000    0.002    0.001 core.py:4077(streamline)
       67    0.000    0.000    0.002    0.000 core.py:4042(__init__)
      652    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
        6    0.000    0.000    0.008    0.001 patches.py:2325(pprint_styles)
  215/204    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       11    0.000    0.000    0.030    0.003 _docstring.py:79(__missing__)
      412    0.000    0.000    0.005    0.000 colors.py:221(is_color_like)
        1    0.000    0.000    0.104    0.104 rcsetup.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:343(raw_decode)
     1694    0.000    0.000    0.001    0.000 unicode.py:63(<genexpr>)
      119    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
       92    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      930    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.025    0.012 core.py:206(read_style_directory)
      318    0.000    0.000    0.001    0.000 typing.py:1178(__getattr__)
      303    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      365    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
  126/115    0.000    0.000    0.053    0.000 _docstring.py:107(__call__)
      690    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      622    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
   133/64    0.000    0.000    0.004    0.000 core.py:3976(copy)
      812    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       86    0.000    0.000    0.001    0.000 core.py:3850(__init__)
      365    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      792    0.000    0.000    0.001    0.000 __init__.py:694(_get)
      538    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      589    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     1370    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      369    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       48    0.000    0.000    0.009    0.000 __init__.py:1355(_add_data_doc)
1332/1330    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       66    0.000    0.000    0.001    0.000 core.py:4619(__init__)
      379    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      214    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      588    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
     1184    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      214    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      798    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      130    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
       82    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     1089    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      448    0.000    0.000    0.000    0.000 colors.py:355(<genexpr>)
     1157    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      637    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      183    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.002    0.000 typing.py:746(Literal)
   256/18    0.000    0.000    0.002    0.000 ast.py:403(visit)
      210    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      146    0.000    0.000    0.000    0.000 <string>:2(__init__)
      241    0.000    0.000    0.005    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      201    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      800    0.000    0.000    0.000    0.000 __init__.py:970(<lambda>)
      243    0.000    0.000    0.001    0.000 inspect.py:2799(__str__)
    154/1    0.000    0.000    0.001    0.001 _mathtext_data.py:1723(_normalize_stix_fontcodes)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1328(_make_substitution)
       71    0.000    0.000    0.003    0.000 deprecation.py:260(rename_parameter)
      150    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      461    0.000    0.000    0.001    0.000 copyreg.py:98(__newobj__)
